time,signal
1.29751E-08,0.032847553
1.29851E-08,0.032730449
1.29951E-08,0.032613762
1.30051E-08,0.032497492
1.30151E-08,0.032381635
1.30251E-08,0.032266192
1.30351E-08,0.032151159
1.30451E-08,0.032036539
1.30551E-08,0.031922325
1.30651E-08,0.031808518
1.30751E-08,0.03169512
1.30851E-08,0.031582125
1.30951E-08,0.031469531
1.31051E-08,0.031357337
1.31151E-08,0.031245546
1.31251E-08,0.031134153
1.31351E-08,0.031023158
1.31451E-08,0.030912556
1.31551E-08,0.03080235
1.31651E-08,0.030692538
1.31751E-08,0.030583115
1.31851E-08,0.030474083
1.31951E-08,0.030365441
1.32051E-08,0.030257186
1.32151E-08,0.030149316
1.32251E-08,0.030041831
1.32351E-08,0.02993473
1.32451E-08,0.02982801
1.32551E-08,0.02972167
1.32651E-08,0.02961571
1.32751E-08,0.029510127
1.32851E-08,0.029404921
1.32951E-08,0.02930009
1.33051E-08,0.029195633
1.33151E-08,0.029091546
1.33251E-08,0.028987832
1.33351E-08,0.028884489
1.33451E-08,0.028781513
1.33551E-08,0.028678905
1.33651E-08,0.028576661
1.33751E-08,0.028474784
1.33851E-08,0.028373268
1.33951E-08,0.028272115
1.34051E-08,0.028171321
1.34151E-08,0.028070889
1.34251E-08,0.027970813
1.34351E-08,0.027871095
1.34451E-08,0.027771732
1.34551E-08,0.027672723
1.34651E-08,0.027574068
1.34751E-08,0.027475763
1.34851E-08,0.02737781
1.34951E-08,0.027280206
1.35051E-08,0.02718295
1.35151E-08,0.02708604
1.35251E-08,0.026989475
1.35351E-08,0.026893256
1.35451E-08,0.026797378
1.35551E-08,0.026701843
1.35651E-08,0.026606649
1.35751E-08,0.026511794
1.35851E-08,0.026417278
1.35951E-08,0.026323097
1.36051E-08,0.026229253
1.36151E-08,0.026135745
1.36251E-08,0.026042568
1.36351E-08,0.025949724
1.36451E-08,0.02585721
1.36551E-08,0.025765028
1.36651E-08,0.025673172
1.36751E-08,0.025581645
1.36851E-08,0.025490444
1.36951E-08,0.025399569
1.37051E-08,0.025309017
1.37151E-08,0.025218789
1.37251E-08,0.025128881
1.37351E-08,0.025039295
1.37451E-08,0.024950027
1.37551E-08,0.024861077
1.37651E-08,0.024772445
1.37751E-08,0.024684129
1.37851E-08,0.024596129
1.37951E-08,0.024508441
1.38051E-08,0.024421066
1.38151E-08,0.024334002
1.38251E-08,0.02424725
1.38351E-08,0.024160806
1.38451E-08,0.024074672
1.38551E-08,0.023988843
1.38651E-08,0.02390332
1.38751E-08,0.023818104
1.38851E-08,0.023733189
1.38951E-08,0.023648579
1.39051E-08,0.02356427
1.39151E-08,0.023480261
1.39251E-08,0.023396552
1.39351E-08,0.02331314
1.39451E-08,0.023230027
1.39551E-08,0.02314721
1.39651E-08,0.023064688
1.39751E-08,0.02298246
1.39851E-08,0.022900525
1.39951E-08,0.022818884
1.40051E-08,0.022737531
1.40151E-08,0.022656471
1.40251E-08,0.022575699
1.40351E-08,0.022495214
1.40451E-08,0.022415016
1.40551E-08,0.022335105
1.40651E-08,0.022255478
1.40751E-08,0.022176135
1.40851E-08,0.022097075
1.40951E-08,0.022018297
1.41051E-08,0.021939801
1.41151E-08,0.021861583
1.41251E-08,0.021783644
1.41351E-08,0.021705983
1.41451E-08,0.0216286
1.41551E-08,0.021551492
1.41651E-08,0.021474659
1.41751E-08,0.021398099
1.41851E-08,0.021321815
1.41951E-08,0.0212458
1.42051E-08,0.021170057
1.42151E-08,0.021094583
1.42251E-08,0.021019379
1.42351E-08,0.020944443
1.42451E-08,0.020869775
1.42551E-08,0.020795371
1.42651E-08,0.020721234
1.42751E-08,0.020647362
1.42851E-08,0.020573752
1.42951E-08,0.020500405
1.43051E-08,0.020427318
1.43151E-08,0.020354493
1.43251E-08,0.020281928
1.43351E-08,0.020209622
1.43451E-08,0.020137573
1.43551E-08,0.020065779
1.43651E-08,0.019994244
1.43751E-08,0.019922962
1.43851E-08,0.019851934
1.43951E-08,0.019781161
1.44051E-08,0.019710639
1.44151E-08,0.019640369
1.44251E-08,0.019570349
1.44351E-08,0.01950058
1.44451E-08,0.019431058
1.44551E-08,0.019361785
1.44651E-08,0.019292759
1.44751E-08,0.019223979
1.44851E-08,0.019155443
1.44951E-08,0.019087153
1.45051E-08,0.019019105
1.45151E-08,0.018951299
1.45251E-08,0.018883737
1.45351E-08,0.018816413
1.45451E-08,0.018749332
1.45551E-08,0.018682489
1.45651E-08,0.018615885
1.45751E-08,0.018549517
1.45851E-08,0.018483385
1.45951E-08,0.018417491
1.46051E-08,0.018351831
1.46151E-08,0.018286405
1.46251E-08,0.018221213
1.46351E-08,0.018156253
1.46451E-08,0.018091524
1.46551E-08,0.018027026
1.46651E-08,0.017962757
1.46751E-08,0.01789872
1.46851E-08,0.017834909
1.46951E-08,0.017771326
1.47051E-08,0.01770797
1.47151E-08,0.017644839
1.47251E-08,0.017581934
1.47351E-08,0.017519252
1.47451E-08,0.017456794
1.47551E-08,0.017394559
1.47651E-08,0.017332546
1.47751E-08,0.017270755
1.47851E-08,0.017209182
1.47951E-08,0.01714783
1.48051E-08,0.017086696
1.48151E-08,0.017025782
1.48251E-08,0.016965082
1.48351E-08,0.0169046
1.48451E-08,0.016844334
1.48551E-08,0.016784282
1.48651E-08,0.016724445
1.48751E-08,0.016664822
1.48851E-08,0.016605409
1.48951E-08,0.01654621
1.49051E-08,0.01648722
1.49151E-08,0.016428443
1.49251E-08,0.016369874
1.49351E-08,0.016311513
1.49451E-08,0.016253361
1.49551E-08,0.016195416
1.49651E-08,0.016137678
1.49751E-08,0.016080147
1.49851E-08,0.01602282
1.49951E-08,0.015965696
1.50051E-08,0.015908778
1.50151E-08,0.01585206
1.50251E-08,0.015795548
1.50351E-08,0.015739234
1.50451E-08,0.015683122
1.50551E-08,0.015627211
1.50651E-08,0.015571498
1.50751E-08,0.015515985
1.50851E-08,0.015460669
1.50951E-08,0.015405551
1.51051E-08,0.015350628
1.51151E-08,0.015295901
1.51251E-08,0.015241371
1.51351E-08,0.015187033
1.51451E-08,0.01513289
1.51551E-08,0.01507894
1.51651E-08,0.015025183
1.51751E-08,0.014971617
1.51851E-08,0.014918242
1.51951E-08,0.014865057
1.52051E-08,0.014812062
1.52151E-08,0.014759255
1.52251E-08,0.014706637
1.52351E-08,0.014654206
1.52451E-08,0.014601963
1.52551E-08,0.014549905
1.52651E-08,0.014498034
1.52751E-08,0.014446347
1.52851E-08,0.014394845
1.52951E-08,0.014343525
1.53051E-08,0.014292389
1.53151E-08,0.014241436
1.53251E-08,0.014190664
1.53351E-08,0.014140073
1.53451E-08,0.014089663
1.53551E-08,0.014039432
1.53651E-08,0.01398938
1.53751E-08,0.013939506
1.53851E-08,0.013889811
1.53951E-08,0.013840293
1.54051E-08,0.01379095
1.54151E-08,0.013741785
1.54251E-08,0.013692793
1.54351E-08,0.013643977
1.54451E-08,0.013595336
1.54551E-08,0.013546867
1.54651E-08,0.013498572
1.54751E-08,0.013450447
1.54851E-08,0.013402496
1.54951E-08,0.013354715
1.55051E-08,0.013307104
1.55151E-08,0.013259662
1.55251E-08,0.013212391
1.55351E-08,0.013165288
1.55451E-08,0.013118352
1.55551E-08,0.013071584
1.55651E-08,0.013024983
1.55751E-08,0.012978547
1.55851E-08,0.012932277
1.55951E-08,0.012886173
1.56051E-08,0.012840233
1.56151E-08,0.012794456
1.56251E-08,0.012748843
1.56351E-08,0.012703392
1.56451E-08,0.012658103
1.56551E-08,0.012612976
1.56651E-08,0.012568009
1.56751E-08,0.012523203
1.56851E-08,0.012478557
1.56951E-08,0.01243407
1.57051E-08,0.012389741
1.57151E-08,0.012345571
1.57251E-08,0.012301558
1.57351E-08,0.012257702
1.57451E-08,0.012214002
1.57551E-08,0.012170458
1.57651E-08,0.012127069
1.57751E-08,0.012083835
1.57851E-08,0.012040755
1.57951E-08,0.011997828
1.58051E-08,0.011955055
1.58151E-08,0.011912434
1.58251E-08,0.011869965
1.58351E-08,0.011827648
1.58451E-08,0.011785481
1.58551E-08,0.011743465
1.58651E-08,0.011701599
1.58751E-08,0.011659881
1.58851E-08,0.011618312
1.58951E-08,0.011576893
1.59051E-08,0.01153562
1.59151E-08,0.011494494
1.59251E-08,0.011453516
1.59351E-08,0.011412683
1.59451E-08,0.011371995
1.59551E-08,0.011331453
1.59651E-08,0.011291056
1.59751E-08,0.011250802
1.59851E-08,0.011210692
1.59951E-08,0.011170724
1.60051E-08,0.0111309
1.60151E-08,0.011091217
1.60251E-08,0.011051676
1.60351E-08,0.011012276
1.60451E-08,0.010973017
1.60551E-08,0.010933897
1.60651E-08,0.010894916
1.60751E-08,0.010856075
1.60851E-08,0.010817372
1.60951E-08,0.010778807
